CustomerID,Age,Gender,Region,MonthlyIncome,SpendingScore,SubscriptionType,TenureMonths,Churn,PurchaseAmount,TransactionDate
CUST0028,39,Female,West,11793,93,Standard,25,No,1053.22,2024-07-04
CUST0029,61,Male,North,4408,99,Basic,13,Yes,4120.71,2025-05-19
CUST0030,42,Female,North,2340,40,Basic,32,No,3415.56,2025-08-20
CUST0031,66,Male,East,4817,14,Premium,59,Yes,3216.63,2025-03-17
CUST0032,44,Female,North,4496,35,Standard,38,Yes,2068.79,2024-08-26
CUST0033,59,Female,North,7962,48,Standard,38,No,2931.36,2024-04-21
CUST0034,45,Male,North,7299,84,Basic,56,Yes,1608.58,2024-08-27
CUST0035,33,Female,South,11917,56,Basic,28,No,2438.28,2024-01-29
CUST0036,32,Female,West,9574,49,Premium,53,No,3986.01,2023-12-10
CUST0037,64,Male,East,3689,13,Basic,30,Yes,4908.08,2024-04-20
CUST0038,68,Female,East,5267,61,Premium,3,Yes,4669.2,2023-11-16
CUST0039,61,Male,South,6406,49,Basic,28,Yes,4675.94,2025-08-15
CUST0040,69,Female,West,10453,46,Basic,3,No,2070.9,2024-11-03
CUST0041,20,Male,East,3442,62,Standard,45,Yes,2397.07,2024-04-07
CUST0042,54,Male,North,10597,8,Basic,54,No,3557.61,2025-02-28
CUST0043,68,Female,East,12382,43,Basic,34,No,4618.74,2025-08-15
CUST0044,24,Female,North,6437,20,Premium,16,Yes,795.77,2024-04-09
CUST0045,38,Female,South,7435,97,Basic,22,No,1590.79,2025-07-20
CUST0046,26,Female,North,10435,90,Premium,32,Yes,782.31,2025-04-15
CUST0047,56,Female,East,14777,39,Basic,38,Yes,3098.84,2025-04-02
CUST0048,35,Male,East,6107,85,Basic,8,Yes,1600.87,2023-12-12
CUST0049,21,Female,East,2560,49,Premium,55,Yes,1697.93,2024-07-26
CUST0050,42,Male,South,14329,64,Standard,8,Yes,447.49,2024-11-10
CUST0051,31,Male,South,12917,62,Premium,57,Yes,1814.0,2025-05-15
CUST0052,67,Female,West,10785,54,Premium,6,Yes,4326.23,2024-11-03
CUST0053,26,Male,East,7548,9,Premium,14,No,1242.06,2025-07-11
CUST0054,43,Male,North,3826,88,Standard,32,Yes,3506.42,2024-10-26
CUST0055,19,Male,South,13421,37,Basic,35,No,3185.18,2024-06-09
CUST0056,37,Male,East,13479,49,Premium,10,No,4331.07,2024-06-15
CUST0057,45,Female,East,14265,41,Premium,3,No,748.21,2025-05-19
CUST0058,64,Male,South,9629,17,Standard,59,Yes,4890.19,2024-01-26
CUST0059,24,Female,West,10325,88,Premium,12,No,2954.88,2024-06-27
CUST0060,61,Female,South,5138,21,Basic,49,No,4977.82,2024-04-11
CUST0061,25,Male,South,14111,51,Standard,59,Yes,4566.42,2025-07-12
CUST0062,64,Female,North,9693,59,Basic,31,Yes,1185.43,2024-03-10
CUST0063,52,Female,North,10264,39,Basic,29,No,375.19,2023-12-11
CUST0064,31,Female,West,14686,55,Standard,5,Yes,1352.63,2023-12-29
CUST0065,34,Male,East,9842,41,Premium,52,Yes,2685.06,2023-11-01
CUST0066,53,Female,South,8721,39,Basic,25,Yes,940.82,2024-07-17
CUST0067,67,Female,West,9002,13,Basic,41,Yes,920.55,2025-07-16
CUST0068,57,Female,North,6225,64,Basic,31,No,2366.71,2025-02-19
CUST0069,21,Male,South,4978,11,Basic,21,Yes,263.01,2025-06-23
CUST0070,19,Female,East,9373,19,Standard,58,Yes,697.25,2024-05-14
CUST0071,23,Male,North,7907,11,Standard,20,Yes,2137.72,2023-10-12
CUST0072,59,Male,North,8097,77,Basic,39,No,409.34,2025-06-08
CUST0073,21,Male,North,14553,46,Premium,22,No,2044.1,2024-09-30
CUST0074,46,Male,West,7656,45,Basic,4,Yes,2422.63,2024-10-24
CUST0075,35,Male,East,12177,1,Premium,13,Yes,2311.21,2025-01-04
CUST0076,43,Male,South,10984,40,Basic,45,No,4358.96,2024-11-29
CUST0077,61,Female,West,6259,19,Premium,42,Yes,2697.31,2024-06-30
CUST0078,51,Male,West,10286,76,Basic,50,Yes,2393.1,2025-01-04
CUST0079,27,Female,West,7901,72,Premium,49,No,2112.48,2024-10-15
CUST0080,53,Female,North,11325,72,Basic,20,Yes,4106.35,2024-09-14
CUST0081,31,Male,East,6917,61,Basic,52,Yes,4485.78,2024-10-12
CUST0082,48,Female,West,10429,12,Premium,13,No,4280.89,2025-02-05
CUST0083,65,Female,South,13138,61,Standard,17,No,3400.38,2025-06-18
CUST0084,32,Female,East,4530,33,Premium,54,Yes,773.07,2025-07-02
CUST0085,25,Female,South,3960,45,Standard,36,No,1456.66,2024-09-15
CUST0086,31,Male,East,9045,90,Basic,33,Yes,325.71,2024-01-24
CUST0087,40,Female,South,3048,92,Premium,1,Yes,4661.04,2025-02-12
CUST0088,57,Male,North,7772,69,Premium,15,Yes,3337.91,2025-05-31
CUST0089,38,Female,West,4529,8,Premium,13,No,3757.18,2025-05-03
CUST0090,33,Female,South,4964,25,Standard,17,No,1626.7,2025-07-28
CUST0091,62,Male,East,9137,91,Standard,24,Yes,4243.7,2024-08-11
CUST0092,35,Female,West,2963,46,Basic,58,Yes,1372.06,2024-07-17
CUST0093,64,Female,West,2536,87,Standard,8,No,108.05,2024-09-27
CUST0094,41,Female,East,9340,30,Standard,50,No,1944.43,2024-02-02
CUST0095,43,Male,South,9179,47,Basic,27,No,2896.73,2025-06-05
CUST0096,42,Female,North,9967,87,Premium,45,Yes,2445.65,2025-07-02
CUST0097,62,Male,North,14415,49,Premium,23,No,4324.17,2024-03-14
CUST0098,58,Female,South,13871,47,Basic,46,No,616.49,2024-07-23
CUST0099,46,Male,West,14379,84,Premium,8,Yes,2813.73,2024-08-10
CUST0100,32,Male,West,13916,82,Standard,8,Yes,2613.6,2025-07-15
CUST0101,62,Female,West,10734,18,Basic,59,Yes,1478.83,2023-10-19
CUST0102,18,Female,West,2845,66,Basic,26,No,4128.92,2024-05-27
CUST0103,42,Male,South,13795,68,Basic,47,Yes,3788.96,2024-09-17
CUST0104,24,Male,West,7777,94,Premium,59,Yes,3691.01,2023-12-10
CUST0105,26,Female,East,5036,33,Basic,13,Yes,4393.34,2025-08-28
CUST0106,41,Male,West,7947,36,Basic,39,Yes,3641.64,2024-10-15
CUST0107,18,Female,North,4494,82,Basic,37,No,1236.02,2023-12-10
CUST0108,61,Female,West,14677,19,Premium,49,Yes,3557.26,2024-02-12
CUST0109,25,Female,South,4719,28,Standard,28,No,1607.74,2025-02-14
CUST0110,41,Female,North,3884,40,Basic,25,No,1286.66,2023-12-21
CUST0111,28,Male,South,14330,84,Standard,16,No,457.72,2024-09-16
CUST0112,68,Female,South,6349,97,Premium,55,Yes,3745.74,2024-10-11
CUST0113,34,Male,North,13393,76,Premium,2,No,3583.9,2024-03-31
CUST0114,25,Female,South,7179,15,Premium,54,Yes,1249.05,2024-12-10
CUST0115,52,Male,South,12902,41,Premium,18,Yes,3771.96,2023-10-31
CUST0116,52,Female,West,8610,39,Standard,17,Yes,4597.42,2024-09-10
CUST0117,50,Male,East,8430,2,Basic,30,No,629.34,2023-11-03
CUST0118,22,Male,South,9154,63,Premium,39,Yes,1239.92,2024-04-19
CUST0119,59,Female,South,12145,29,Premium,13,Yes,3776.28,2024-01-03
CUST0120,56,Female,South,8488,74,Standard,32,Yes,1445.08,2024-02-11
CUST0121,58,Female,West,6737,66,Standard,50,No,3160.85,2024-03-19
CUST0122,45,Female,East,8525,51,Premium,29,No,497.7,2024-05-24
CUST0123,24,Male,North,5850,75,Basic,46,No,2315.79,2023-10-08
CUST0124,26,Female,West,2689,77,Basic,30,Yes,3721.55,2025-08-14
CUST0125,25,Male,West,12142,10,Premium,18,No,3463.92,2025-03-03
CUST0126,29,Male,East,7175,14,Standard,13,Yes,4093.85,2025-08-18
CUST0127,51,Female,East,10648,82,Premium,43,Yes,4399.52,2023-11-01
CUST0128,50,Male,West,7078,51,Premium,21,No,3888.6,2023-12-19
CUST0129,65,Male,North,12322,73,Standard,30,Yes,3390.78,2025-04-15
CUST0130,40,Male,West,14168,39,Premium,21,No,255.44,2025-05-24
CUST0131,41,Male,East,14436,28,Premium,48,Yes,2721.34,2024-08-18
CUST0132,54,Female,North,7448,3,Premium,55,No,284.72,2024-11-21
CUST0133,52,Female,East,3179,84,Standard,17,Yes,4059.53,2024-01-18
CUST0134,61,Female,North,14477,70,Basic,40,Yes,1671.55,2025-08-24
CUST0135,57,Female,South,13757,27,Basic,19,Yes,2855.9,2024-12-25
CUST0136,39,Male,East,11074,2,Standard,52,Yes,1469.28,2025-02-15
CUST0137,44,Male,East,8406,93,Basic,15,Yes,3934.25,2023-10-23
CUST0138,52,Female,West,10591,38,Premium,9,No,4443.86,2023-10-29
CUST0139,18,Female,East,8907,3,Basic,52,Yes,2053.35,2025-04-04
CUST0140,52,Female,East,10800,16,Premium,10,No,4328.32,2024-09-28
CUST0141,54,Male,South,3638,94,Basic,44,No,1408.67,2025-03-27
CUST0142,64,Female,East,7671,40,Standard,31,No,2719.84,2024-01-06
CUST0143,31,Female,South,8928,2,Basic,53,Yes,4307.93,2025-07-12
CUST0144,20,Female,South,12340,81,Basic,23,Yes,1696.82,2023-10-30
CUST0145,18,Male,South,3382,41,Basic,52,Yes,4774.81,2024-09-21
CUST0146,22,Male,South,3403,12,Standard,30,No,697.21,2025-05-25
CUST0147,43,Male,North,11011,35,Basic,33,Yes,189.55,2025-08-25
CUST0148,31,Male,West,5292,65,Standard,57,Yes,4530.26,2024-10-13
CUST0149,56,Male,North,11011,55,Premium,52,No,436.38,2025-03-31
CUST0150,44,Male,East,2419,45,Basic,9,No,4960.26,2025-06-12
CUST0151,26,Male,North,14411,79,Standard,54,No,4761.84,2024-06-04
CUST0152,32,Male,North,6517,90,Standard,47,No,771.4,2025-03-30
CUST0153,32,Female,East,5302,85,Basic,1,No,2734.16,2023-09-20
CUST0154,43,Female,East,9857,62,Premium,44,No,1006.11,2025-06-24
CUST0155,59,Male,East,11700,49,Standard,35,Yes,2197.96,2025-05-20
CUST0156,30,Male,North,9870,95,Basic,11,No,400.98,2024-06-13
CUST0157,68,Female,North,7693,25,Premium,34,Yes,1197.23,2025-06-25
CUST0158,49,Male,East,2767,23,Standard,16,Yes,1880.04,2023-09-13
CUST0159,56,Male,West,4044,24,Standard,9,Yes,2249.37,2024-01-26
CUST0160,66,Male,West,12331,38,Premium,32,No,4889.73,2023-10-10
CUST0161,69,Female,South,13221,28,Premium,15,Yes,4058.54,2025-08-14
CUST0162,49,Female,East,3549,21,Basic,12,No,3713.31,2024-12-21
CUST0163,21,Female,South,11956,54,Basic,33,No,2731.5,2024-03-21
CUST0164,47,Female,West,8140,18,Standard,45,Yes,4215.99,2024-10-22
CUST0165,54,Female,South,12837,36,Premium,14,No,1762.68,2025-05-28
CUST0166,40,Male,East,5716,99,Premium,57,Yes,3573.61,2025-01-03
CUST0167,56,Female,East,14797,45,Premium,57,Yes,4969.54,2024-07-07
CUST0168,62,Male,East,6481,73,Standard,8,No,1641.68,2024-02-23
CUST0169,32,Male,North,9898,53,Premium,8,Yes,3402.69,2024-09-09
CUST0170,60,Female,South,8548,30,Premium,27,Yes,4237.14,2025-02-24
CUST0171,46,Female,West,4293,60,Standard,12,Yes,4587.46,2024-06-30
CUST0172,53,Male,West,6837,98,Basic,1,No,3617.87,2025-07-02
CUST0173,30,Male,West,9758,32,Basic,43,Yes,1489.68,2024-02-20
CUST0174,49,Male,North,12900,67,Standard,40,No,1698.78,2023-10-13
CUST0175,24,Female,North,8793,67,Premium,42,No,201.71,2023-11-19
CUST0176,68,Female,East,9638,28,Standard,51,Yes,3828.34,2024-07-28
CUST0177,39,Female,West,9993,44,Basic,11,Yes,309.42,2024-06-21
CUST0178,45,Female,North,8007,79,Basic,39,No,4336.8,2024-04-28
CUST0179,19,Female,East,7542,41,Standard,43,No,681.44,2024-07-07
CUST0180,59,Male,West,11092,63,Standard,31,Yes,942.19,2024-02-18
CUST0181,62,Female,South,13276,23,Basic,17,Yes,2434.98,2024-11-06
CUST0182,23,Male,East,8356,75,Standard,33,No,3715.61,2025-02-06
CUST0183,45,Male,North,12201,48,Basic,32,No,781.11,2024-02-11
CUST0184,45,Male,North,10433,32,Standard,58,No,2256.35,2023-11-30
CUST0185,61,Female,East,9380,57,Standard,29,No,2465.97,2025-07-27
CUST0186,61,Female,East,4385,33,Standard,21,No,1140.2,2024-10-15
CUST0187,37,Female,North,6268,24,Basic,21,Yes,666.24,2025-04-06
CUST0188,47,Male,South,2671,39,Standard,40,No,4198.46,2024-12-11
CUST0189,28,Male,West,2163,34,Basic,23,No,2562.08,2024-05-30
CUST0190,45,Male,South,10656,56,Basic,56,Yes,170.47,2025-04-30
CUST0191,42,Male,East,13234,28,Standard,6,Yes,4034.61,2025-07-24
CUST0192,56,Male,South,6592,37,Standard,22,No,4905.89,2024-03-20
CUST0193,50,Male,North,6795,7,Basic,50,No,3069.04,2025-03-08
CUST0194,18,Female,East,12634,68,Basic,38,Yes,2568.17,2025-07-22
CUST0195,44,Female,West,6798,37,Premium,37,No,4404.24,2023-10-30
CUST0196,69,Female,North,8036,56,Basic,45,No,4767.33,2024-09-14
CUST0197,30,Female,North,4355,65,Premium,51,Yes,3797.23,2023-09-02
CUST0198,58,Male,West,7887,65,Premium,54,No,2282.72,2024-07-07
CUST0199,20,Male,West,14470,47,Premium,8,Yes,3001.88,2025-04-15
CUST0200,56,Female,South,14916,20,Standard,41,Yes,3534.58,2025-04-11
CUST0201,23,Male,East,9961,19,Standard,49,Yes,1051.94,2025-07-19
CUST0202,25,Female,West,12749,29,Basic,35,Yes,2291.29,2024-04-24
CUST0203,44,Female,West,7827,74,Premium,51,No,4166.12,2025-06-26
CUST0204,26,Female,East,10737,60,Standard,11,Yes,3308.15,2023-12-24
CUST0205,54,Male,West,6719,18,Standard,24,No,2114.9,2024-11-18
CUST0206,50,Female,West,14027,92,Standard,49,No,3350.48,2025-03-23
CUST0207,68,Female,South,2593,35,Standard,21,No,679.29,2025-06-01
CUST0208,59,Female,North,6839,43,Standard,51,No,2067.34,2023-12-05
CUST0209,61,Male,North,9394,95,Premium,2,No,3986.33,2023-09-24
CUST0210,41,Male,North,13996,91,Premium,40,Yes,1180.49,2024-09-30
CUST0211,32,Female,North,11651,11,Premium,19,Yes,1011.21,2024-05-13
CUST0212,49,Male,West,5493,49,Premium,39,Yes,4759.01,2025-03-29
CUST0213,49,Male,East,12793,38,Basic,28,Yes,1128.5,2024-04-06
CUST0214,41,Male,East,8164,64,Premium,59,No,1378.5,2024-02-04
CUST0215,58,Male,South,12636,69,Standard,17,Yes,4851.12,2024-06-01
CUST0216,69,Male,South,4672,8,Premium,6,No,3700.07,2024-04-12
CUST0217,66,Male,West,6200,34,Basic,19,No,3528.02,2024-03-03
CUST0218,66,Male,East,2016,48,Standard,56,Yes,4279.34,2024-12-14
CUST0219,69,Male,East,5191,56,Premium,38,Yes,667.53,2023-11-05
CUST0220,29,Male,North,2392,76,Premium,28,Yes,3559.19,2024-10-10
CUST0221,56,Male,West,10616,65,Premium,2,Yes,2568.07,2025-06-18
CUST0222,19,Female,West,8272,31,Standard,38,No,4162.84,2024-03-26
CUST0223,20,Female,North,2571,4,Standard,55,No,2589.89,2025-01-23
CUST0224,66,Male,West,5631,50,Basic,37,Yes,3139.18,2025-08-25
CUST0225,54,Female,West,8172,69,Standard,51,No,2440.94,2024-09-14
CUST0226,66,Female,South,11312,30,Standard,52,No,2442.98,2025-04-13
CUST0227,34,Male,East,9177,88,Premium,4,No,3863.05,2025-08-25
CUST0228,66,Male,West,10433,59,Standard,22,Yes,3179.98,2023-11-04
CUST0229,19,Male,South,5897,67,Premium,26,No,3202.99,2025-04-22
CUST0230,19,Female,East,14287,75,Premium,49,Yes,2306.38,2024-09-03
CUST0231,45,Female,North,10123,45,Standard,43,Yes,2702.44,2024-12-01
CUST0232,40,Male,South,4279,4,Basic,36,No,3754.02,2024-07-30
CUST0233,54,Male,South,10980,26,Basic,58,No,4147.11,2024-02-14
CUST0234,49,Male,East,9451,27,Standard,13,Yes,3513.15,2023-12-08
CUST0235,50,Female,North,10906,46,Basic,52,No,4627.96,2025-07-26
CUST0236,18,Female,South,13041,64,Premium,58,No,4119.59,2025-04-22
CUST0237,36,Female,West,2775,91,Premium,32,Yes,2853.13,2025-06-14
CUST0238,19,Female,West,14218,51,Standard,17,Yes,3389.89,2024-04-09
CUST0239,61,Male,West,8869,50,Basic,41,Yes,4638.91,2024-04-02
CUST0240,43,Male,North,4247,6,Basic,36,Yes,3133.92,2024-07-27
CUST0241,49,Male,South,9088,59,Premium,55,No,4141.55,2025-05-05
CUST0242,23,Male,West,2078,15,Standard,46,No,3475.17,2024-04-30
CUST0243,49,Female,North,10080,30,Basic,19,Yes,2804.49,2023-11-05
CUST0244,21,Female,West,9099,42,Standard,58,Yes,1285.01,2025-07-18
CUST0245,28,Male,East,5926,37,Basic,35,Yes,2187.39,2025-01-08
CUST0246,34,Male,South,11047,42,Premium,46,No,4841.94,2024-07-16
CUST0247,55,Female,South,9340,35,Premium,40,Yes,3323.05,2025-04-11
CUST0248,41,Male,North,9083,87,Standard,56,No,2865.54,2024-07-28
CUST0249,22,Female,North,8230,6,Premium,59,Yes,4671.49,2023-08-31
CUST0250,69,Male,South,12340,68,Basic,28,Yes,2973.91,2024-07-28
CUST0251,51,Male,West,11223,18,Premium,1,Yes,2677.8,2024-11-11
CUST0252,23,Male,West,6940,73,Standard,42,No,3820.62,2024-10-27
CUST0253,39,Male,East,5271,29,Standard,18,No,3592.06,2025-04-12
CUST0254,28,Male,West,13768,77,Standard,48,No,1046.48,2024-05-19
CUST0255,65,Male,North,14374,59,Basic,40,Yes,2409.41,2024-06-03
CUST0256,33,Male,North,5456,47,Basic,33,No,2415.33,2023-10-03
CUST0257,50,Female,West,9788,17,Basic,12,No,1953.3,2025-03-08
CUST0258,26,Female,North,13698,96,Basic,8,Yes,2634.74,2024-09-24
CUST0259,23,Female,South,10599,22,Basic,24,Yes,2124.23,2024-06-22
CUST0260,33,Female,South,9650,68,Premium,16,No,1076.79,2025-08-22
CUST0261,46,Female,West,4711,69,Basic,50,No,2120.6,2024-10-24
CUST0262,20,Male,South,13280,37,Basic,4,No,454.16,2025-03-17
CUST0263,37,Male,South,3668,49,Premium,38,No,2921.35,2025-06-04
CUST0264,53,Female,East,2147,13,Basic,44,Yes,4282.91,2024-12-27
CUST0265,36,Male,East,8420,34,Standard,27,Yes,3653.91,2023-11-22
CUST0266,43,Female,South,14519,86,Basic,9,Yes,1865.93,2024-11-25
CUST0267,20,Female,West,14089,53,Basic,47,No,526.65,2025-06-03
CUST0268,36,Male,East,12142,87,Standard,16,No,1090.53,2024-09-17
CUST0269,37,Male,North,2365,51,Standard,56,Yes,2772.9,2024-02-07
CUST0270,49,Male,North,11866,3,Standard,12,Yes,1114.58,2024-09-18
CUST0271,24,Female,North,6531,42,Standard,31,No,2765.47,2024-08-06
CUST0272,69,Male,West,14686,98,Basic,24,No,1234.84,2025-04-19
CUST0273,58,Female,South,7330,32,Standard,55,Yes,4259.73,2025-06-11
CUST0274,50,Female,North,7510,51,Standard,14,Yes,2046.63,2024-01-28
CUST0275,57,Female,West,12738,85,Premium,45,Yes,1303.2,2024-06-18
CUST0276,56,Male,East,10754,46,Standard,25,No,4080.4,2024-02-21
CUST0277,35,Male,South,13754,21,Standard,34,No,1779.91,2025-04-01
CUST0278,57,Female,East,12681,44,Premium,3,No,646.29,2024-11-26
CUST0279,18,Male,West,10964,11,Premium,58,No,2895.01,2025-01-05
CUST0280,28,Male,North,8493,68,Basic,24,No,2949.66,2025-03-21
CUST0281,45,Male,North,12229,1,Premium,54,No,3602.01,2024-05-12
CUST0282,42,Female,West,13615,92,Basic,42,Yes,1277.08,2023-09-30
CUST0283,67,Female,North,12759,63,Premium,9,Yes,2274.48,2024-08-18
CUST0284,40,Male,South,7439,24,Premium,26,No,1483.6,2025-07-19
CUST0285,48,Female,West,11765,99,Basic,20,Yes,496.67,2024-02-27
CUST0286,47,Male,East,13886,13,Premium,40,No,4395.41,2024-05-26
CUST0287,59,Male,West,8511,98,Basic,10,Yes,3671.46,2025-05-21
CUST0288,52,Male,South,13483,11,Premium,19,No,1577.17,2025-03-12
CUST0289,24,Male,South,9504,51,Standard,3,Yes,3036.93,2024-03-22
CUST0290,33,Female,West,3246,17,Premium,24,Yes,1086.19,2024-03-26
CUST0291,43,Female,West,13911,99,Basic,5,No,4462.16,2024-11-30
CUST0292,65,Female,North,5839,82,Premium,3,No,663.04,2025-03-05
CUST0293,69,Male,South,10551,86,Basic,58,Yes,118.8,2024-03-26
CUST0294,66,Male,West,4376,24,Basic,27,Yes,2559.84,2024-12-19
CUST0295,19,Male,West,5009,19,Standard,16,No,2957.33,2025-07-30
CUST0296,18,Female,South,13185,37,Standard,49,Yes,2936.93,2024-01-02
CUST0297,65,Male,West,11154,85,Basic,15,No,367.11,2024-03-13
CUST0298,29,Female,North,13824,8,Premium,35,No,1638.81,2024-10-19
CUST0299,22,Female,South,3827,28,Basic,12,Yes,2546.07,2024-03-17
CUST0300,54,Female,North,8979,5,Basic,41,No,1161.24,2023-11-07
CUST0301,49,Female,North,11805,17,Premium,53,Yes,4375.87,2024-02-02
CUST0302,26,Female,North,11832,36,Premium,44,Yes,526.84,2024-03-21
CUST0303,58,Female,North,12408,19,Premium,26,No,2488.18,2023-11-21
CUST0304,52,Male,South,14504,64,Premium,47,Yes,3487.94,2024-09-11
CUST0305,36,Male,North,10569,91,Basic,34,No,1382.58,2024-11-22
CUST0306,65,Female,North,14406,98,Basic,23,No,3158.78,2024-11-13
CUST0307,33,Female,West,6285,11,Standard,31,No,4163.99,2024-11-23
CUST0308,20,Male,South,8910,54,Basic,50,Yes,1032.65,2024-04-05
CUST0309,37,Female,South,10561,45,Premium,20,No,4594.38,2024-10-23
CUST0310,41,Female,East,4196,47,Standard,12,Yes,2812.44,2024-05-31
CUST0311,50,Male,South,5747,12,Premium,23,No,1566.24,2024-04-29
CUST0312,41,Female,South,10843,21,Basic,4,No,2211.21,2024-03-12
CUST0313,69,Female,East,7978,11,Standard,23,No,1629.74,2025-04-06
CUST0314,28,Female,South,7607,92,Premium,48,Yes,3653.04,2023-12-07
CUST0315,66,Male,South,2769,5,Standard,55,Yes,4001.87,2024-04-15
CUST0316,25,Male,South,12613,81,Standard,48,No,4181.39,2025-03-17
CUST0317,53,Male,South,2780,56,Basic,1,No,4930.26,2025-01-27
CUST0318,55,Female,East,11908,20,Premium,54,Yes,3977.29,2023-11-11
CUST0319,57,Female,South,8303,41,Standard,25,Yes,3046.78,2024-03-13
CUST0320,37,Male,South,5983,46,Standard,2,Yes,1762.18,2024-10-18
CUST0321,52,Female,East,11503,12,Premium,30,No,2768.52,2024-09-27
CUST0322,65,Female,West,13551,70,Standard,3,Yes,301.23,2024-03-25
CUST0323,42,Female,North,10714,17,Standard,58,No,3749.64,2024-11-14
CUST0324,52,Female,West,2521,19,Standard,21,Yes,2285.18,2024-08-08
CUST0325,42,Female,East,12512,26,Premium,25,No,198.11,2023-12-31
CUST0326,46,Male,North,11127,48,Premium,20,No,406.28,2025-02-27
CUST0327,35,Female,East,9569,52,Premium,49,No,1998.59,2024-06-02
CUST0328,63,Male,East,12422,96,Premium,52,Yes,2958.77,2025-07-23
CUST0329,35,Female,South,14232,70,Basic,22,Yes,2374.6,2025-05-20
CUST0330,19,Male,North,7784,55,Standard,21,Yes,3134.1,2024-08-18
CUST0331,52,Female,South,6583,75,Premium,33,No,2453.44,2024-06-03
CUST0332,33,Male,North,7946,33,Standard,52,No,3342.35,2023-09-16
CUST0333,58,Female,East,6941,62,Standard,38,Yes,1173.72,2024-05-25
CUST0334,53,Male,East,8267,88,Basic,15,No,652.93,2025-08-10
CUST0335,50,Female,West,9128,23,Premium,58,No,3022.53,2025-04-02
CUST0336,21,Male,North,13889,15,Premium,58,No,2474.98,2023-09-23
CUST0337,50,Female,South,13029,27,Standard,46,Yes,231.65,2025-04-14
CUST0338,31,Male,West,14275,75,Premium,52,No,1964.36,2025-08-27
CUST0339,38,Male,West,4461,64,Standard,15,Yes,620.02,2023-11-18
CUST0340,65,Female,West,13435,81,Standard,46,Yes,2703.65,2025-04-04
CUST0341,37,Female,South,13551,51,Basic,25,Yes,2039.31,2025-08-08
CUST0342,25,Male,West,2685,53,Basic,21,Yes,3104.44,2024-05-10
CUST0343,24,Female,South,4160,78,Basic,24,Yes,4047.45,2024-12-01
CUST0344,20,Male,West,9031,91,Standard,57,No,1568.38,2024-06-08
CUST0345,34,Male,South,14180,82,Premium,58,Yes,4814.3,2023-11-09
CUST0346,50,Male,East,14258,92,Basic,5,Yes,2724.61,2023-12-27
CUST0347,65,Female,East,11759,51,Premium,6,Yes,3129.62,2025-01-24
CUST0348,29,Male,East,7341,47,Basic,49,No,3435.29,2025-01-05
CUST0349,68,Male,East,2038,4,Basic,43,No,3366.98,2024-05-14
CUST0350,39,Female,East,12736,7,Standard,48,No,2603.76,2023-10-21
CUST0351,39,Female,West,6875,35,Basic,44,No,2200.95,2024-08-23
CUST0352,63,Female,West,3256,48,Basic,47,Yes,363.53,2025-05-01
CUST0353,47,Female,West,13182,73,Standard,23,Yes,208.22,2024-04-01
CUST0354,55,Male,South,9697,72,Premium,4,No,1854.01,2024-10-09
CUST0355,55,Male,South,4196,45,Basic,27,No,1734.94,2025-03-19
CUST0356,62,Male,South,13660,81,Standard,18,No,1999.71,2023-11-27
